Period,Ordinary (OA),Special (SA),MediSave (MA),Retirement (RA),Extra (First $60k),"Extra (First $30k, Age 55+)"
Jul-Sep 2024,2.50%,4.08%,4.08%,4.08%,1%,1%
Apr-Jun 2024,2.50%,4.05%,4.05%,4.05%,1%,1%
Jan-Mar 2024,2.50%,4.08%,4.08%,4.08%,1%,1%
Oct-Dec 2023,2.50%,4.04%,4.04%,4.00%,1%,1%
Jul-Sep 2023,2.50%,4.01%,4.01%,4.00%,1%,1%
Apr-Jun 2023,2.50%,4.00%,4.00%,4.00%,1%,1%
Jan-Mar 2023,2.50%,4.00%,4.00%,4.00%,1%,1%
2022 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2021 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2020 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2019 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2018 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2017 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2016 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,1%
2015 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2014 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2013 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2012 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2011 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2010 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2009 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2008 (All Qtrs),2.50%,4.00%,4.00%,4.00%,1%,
2007 (All Qtrs),2.50%,4.00%,4.00%,4.00%,N.A.,
2002 – 2006,2.50%,4.00%,4.00%,4.00%,N.A.,
Oct-Dec 2001,2.50%,4.00%,4.00%,4.00%,N.A.,
Jan-Sep 2001,2.50%,4.00%,2.50%,4.00%,N.A.,
2000 (All Qtrs),2.50%,4.00%,2.50%,4.00%,N.A.,
Jul-Dec 1999,2.50%,4.00%,2.50%,4.00%,N.A.,
Year / Period,Ordinary / General Rate,Special (SA),MediSave (MA),Retirement (RA),,
Jan-Jun 1999,4.41%,5.91%,4.41%,5.91%,,
Jul-Dec 1998,4.29%,5.79%,4.29%,5.79%,,
Jan-Jun 1998,3.48%,4.73%,3.48%,4.73%,,
1997 (All),3.48%,4.73%,3.48%,4.73%,,
1996 (All),3.48% - 3.52%,4.73% - 4.77%,3.48% - 3.52%,4.73% - 4.77%,,
1995 (All),3.10% - 3.82%,3.10% - 5.07%,3.10% - 3.82%,3.10% - 5.07%,,
1991 – 1994,2.50% - 4.85%,(Same as OA),(Same as OA),(Same as OA),,
1986 – 1990,3.39% - 6.50%,(Same as OA),(Same as OA),(Same as OA),,
1977 – 1985,6.50%,6.50%,6.50% (from 1984),N.A.,,
1974 – 1976,6.50%,N.A.,N.A.,N.A.,,
1970 – 1973,5.75%,N.A.,N.A.,N.A.,,
1967 – 1969,5.50%,N.A.,N.A.,5.50%,,
1964 – 1966,5.25%,N.A.,N.A.,N.A.,,
1963,5.00%,N.A.,N.A.,N.A.,,
1955 – 1962,2.50%,N.A.,N.A.,N.A.,,
,,,,,,
TAX Relief,,,,,,
Category,What It Means,Maximum Annual Relief,Key Conditions,,,
Top-up to Your Own CPF (SA / MA / RA),"Cash contributions you make to your own CPF Special, MediSave or Retirement Accounts","Up to S$8,000","Must be cash top-up (not CPF transfer) and within allowable top-up limits (e.g., up to FRS/MA caps)",,,
Top-up to Family Members’ CPF (SA / RA / MA),Cash top-ups you make to eligible family members’ CPF accounts,"Up to S$8,000","Recipients must be qualified family members (parents, parents-in-law, grandparents, grandparents-in-law, spouse, siblings) and meet income/disability criteria",,,
Combined Total Top-Up Relief,Total relief when combining your own + family top-ups,"Up to S$16,000",Not automatic — each category capped separately (S$8k each),,,
Personal Tax Relief Cap,Maximum total allowable tax relief across all relief types including CPF top-ups,"S$80,000 per Year of Assessment","Applies to all reliefs you claim in a YA, including CPF",,,
,,,,,,
Recipient Type,Income Requirement,Notes,,,,
Parents / Parents-in-law / Grandparents / Grandparents-in-law,No annual income cap for eligibility,Standard family top-up relief applies,,,,
Spouse / Siblings,"≤ S$8,000 annual income in preceding year or disabled",Must meet income or disability condition to qualify relief,,,,
Yourself,"N/A (self top-ups always eligible, subject to caps)",Must be cash top-up and within CPF limits,,,,
