Effective Date,Repo Rate,% Change
19 March 2010,5.00%,0.0025
20 April 2010,5.25%,0.0025
2 July 2010,5.50%,0.0025
27 July 2010,5.75%,0.0025
16 September 2010,6.00%,0.0025
2 November 2010,6.25%,0.0025
25 January 2011,6.50%,0.0025
17 March 2011,6.75%,0.0025
3 May 2013,7.25%,0.005
20 September 2013,7.50%,0.0025
29 October 2013,7.75%,0.0025
28 January 2014,8.00%,0.0025
15 January 2015,7.75%,-0.25%
4 March 2015,7.50%,-0.25%
2 June 2015,7.25%,-0.25%
29 September 2015,6.75%,-0.50%
5 April 2016,6.50%,-0.25%
4 October 2016,6.25%,-0.25%
2 August 2017,6.00%,-0.25%
6 June 2018,6.25%,0.0025
1 August 2018,6.50%,0.0025
7 February 2019,6.25%,-0.25%
4 April 2019,6.00%,-0.25%
6 June 2019,5.75%,-0.25%
7 August 2019,5.40%,-0.35%
6 February 2020,5.15%,-0.25%
27 March 2020,4.40%,-0.75%
22 May 2020,4.00%,-0.40%
6 August 2020,4.00%,0.00%
9 October 2020,4.00%,0.00%
May 2022,4.40%,0.004
8 June 2022,4.90%,0.005
5 August 2022,5.40%,0.005
30 September 2022,5.90%,0.005
7 December 2022,6.25%,0.0035
8 February 2023,6.50%,0.0025
8 June 2023,6.50%,0.00%
18 September 2024,6.50%,0.00%
6 December 2024,6.50%,0.00%
7 February 2025,6.25%,-0.25%
9 April 2025,6.00%,-0.25%
6 June 2025,5.50%,-0.50%
6 August 2025,5.50%,0.00%
5 December 2025,5.25%,0.25%
