SORA Value Date,,,SORA Publication Date,SORA,SORA Index
2005,Jul,1,04 Jul 2005,1.7998,0.8921105578
,,4,05 Jul 2005,1.748,0.8921532814
,,5,06 Jul 2005,1.7686,0.8921965105
,,6,07 Jul 2005,1.7971,0.8922404383
,,7,08 Jul 2005,1.7956,0.8922843317
,,8,11 Jul 2005,1.7851,0.8924152481
,,11,12 Jul 2005,1.7279,0.8924574948
,,12,13 Jul 2005,1.7292,0.8924997753
,,13,14 Jul 2005,1.6997,0.8925413364
,,14,15 Jul 2005,1.7127,0.8925832174
,,15,18 Jul 2005,1.7286,0.8927100327
,,18,19 Jul 2005,1.7137,0.892751946
,,19,20 Jul 2005,1.7475,0.8927946881
,,20,21 Jul 2005,1.7688,0.8928379531
,,21,22 Jul 2005,1.8009,0.8928820055
,,22,25 Jul 2005,1.7898,0.8930133546
,,25,26 Jul 2005,1.7729,0.8930567306
,,26,27 Jul 2005,1.7572,0.8930997245
,,27,28 Jul 2005,1.7766,0.8931431952
,,28,29 Jul 2005,1.7625,0.893186323
,,29,01 Aug 2005,1.7712,0.8933163514
,Aug,1,02 Aug 2005,1.7573,0.8933593603
,,2,03 Aug 2005,1.7507,0.8934022097
,,3,04 Aug 2005,1.7437,0.8934448899
,,4,05 Aug 2005,1.7704,0.8934882256
,,5,08 Aug 2005,1.7661,0.8936179234
,,8,10 Aug 2005,1.7582,0.8937040143
,,10,11 Aug 2005,1.7763,0.8937475071
,,11,12 Aug 2005,1.709,0.893789354
,,12,15 Aug 2005,1.7359,0.893916877
,,15,16 Aug 2005,1.7371,0.8939594201
,,16,17 Aug 2005,1.7355,0.894001926
,,17,18 Aug 2005,1.6767,0.8940429937
,,18,19 Aug 2005,1.7014,0.8940846684
,,19,22 Aug 2005,1.7516,0.8942133872
,,22,23 Aug 2005,1.784,0.8942570934
,,23,24 Aug 2005,1.9117,0.8943039304
,,24,25 Aug 2005,1.9255,0.894351108
,,25,26 Aug 2005,1.7456,0.8943938801
,,26,29 Aug 2005,1.7625,0.8945234446
,,29,30 Aug 2005,1.8225,0.8945681096
,,30,31 Aug 2005,1.9267,0.8946153305
